code,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports,discipline,event
1537090,IBRAGIMOV Server,IBRAGIMOV S,Server IBRAGIMOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0.0,0.0,['Shooting Para Sport'],"[""P1 - Men's 10m Air Pistol SH1"", 'P4 - Mixed 50m Pistol SH1']",1978-11-28,GULISTON,Uzbekistan,GULISTON,Uzbekistan,,"Line fishing, listening to music, communicating with friends on the internet. (Athlete, 22 Dec 2017; paralympic.org, 27 Jul 2017)",,,,Russian,"Natalia Efimova [personal], from 2014","He tried powerlifting and athletics before switching to shooting. Akmal Soburov, then chairman of the Sirdaryo regional division of the Uzbekistan National Paralympic Association, offered him the chance to go to the capital city of Tashkent to take part in a shooting tournament. He was successful at the event and was selected to represent Uzbekistan at international competitions. (yuz.uz, 13 Aug 2020)",,,,,,,,
1538589,MAMAJONOVA Shakhnoza,MAMAJONOVA S,Shakhnoza MAMAJONOVA,Female,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,0.0,0.0,['Shooting Para Sport'],"['P4 - Mixed 50m Pistol SH1', ""P2 - Women's 10m Air Pistol SH1""]",1998-05-04,,,,Uzbekistan,,,"Athlete, Student","National University of Uzbekistan , Tashkent, UZB",,,,,,,,,,,,
1538821,SOL CERVANTES Robiel Yankiel,SOL CERVANTES RY,Robiel Yankiel SOL CERVANTES,Male,Athlete,CUB,Cuba,Cuba,Cuba,Cuba,CUB,0.0,0.0,['Para Athletics'],"[""Men's Long Jump - T47""]",2003-05-01,,,HAVANA,Cuba,,,Athlete,,,Spanish,"Luis Alberto Bueno [personal], CUB, from 2019",,,"His mother. (guerrillero.cu, 31 Aug 2021)",,,,,,
1538898,ESTEBAN VILLATORO Ericka Violeta,ESTEBAN VILLATORO,Ericka Violeta ESTEBAN VILLATORO,Female,Athlete,GUA,Guatemala,Guatemala,Guatemala,Guatemala,GUA,0.0,0.0,['Para Athletics'],"[""Women's 400m - T38""]",2001-07-12,,Guatemala,QUETZALTENANGO,Guatemala,,"Spending time with family. (Athlete, 23 Aug 2021)",,,,Spanish,Marvin Gabriel Tumax [national],"She was spotted by coach Marvin Gabriel Tumax during a school sports festival. (digef.edu.gt, 11 Aug 2021)","Her mother. (Athlete, 23 Aug 2021)","Her family. (Athlete, 23 Aug 2021)","""You have to suffer so you can reach your goals."" (Athlete, 23 Aug 2021)",,,,,
1539793,FRANKO Antonio,FRANKO A,Antonio FRANKO,Male,Athlete,CRO,Croatia,Croatia,Croatia,Croatia,CRO,0.0,0.0,['Para Triathlon'],"[""Men's PTS4""]",1992-11-09,,,KRALJEVICA,Croatia,,,"Athlete, Coach","Electronic Engineering - University of Rijeka, Croatia",,"Croatian, English","Kristina Skroce [national], CRO","He was encouraged to take up Para sports by Croatian Para athlete Milka Milinkovic. ""I started sports for rehabilitation. Due to my impairment, I constantly had some kind of surgery, so recovery meant working in the pool to train my leg. That's why swimming was my first contact with sports. As for Para sports, at the persuasion of our Paralympian Milka Milinkovic, I started swimming more intensively. Then the president of the club where I swam got me interested in triathlon, which he did recreationally. I gave myself a chance and tried it."" (24sata.hr, 11 Apr 2023; novilist.hr, 28 Aug 2021)",,,"""We can all make our dreams come true and achieve our goals, regardless of all the obstacles and problems in our way."" (in-portal.hr, 20 Sep 2015)",,,,,
1540364,SINOVCIC Dino,SINOVCIC D,Dino SINOVCIC,Male,Athlete,CRO,Croatia,Croatia,Croatia,Croatia,CRO,0.0,0.0,['Para Swimming'],"[""Men's 100m Backstroke - S6""]",1992-06-16,SPLIT,Croatia,SPLIT,Croatia,,"Playing wheelchair basketball. (vecernji.hr, 03 Sep 2021)",Athlete,"Human Movement Studies - University of Split, Croatia",,"Croatian, English","Slobodan Glavcic [national], CRO","""Doctors recommended that it would be good for me to swim as part of my rehabilitation. Coaches of PK Mornar noticed me at the pool. They thought I had the potential and talent to do the sport, so then I joined them."" (tris.com.hr, 28 Jun 2022; dalmatinskiportal.hr, 02 Dec 2018; slobodnadalmacija.hr, 28 Dec 2017; Athlete, 12 Jul 2015)",,"His family. (slobodnadalmacija.hr, 28 Dec 2017; Athlete, 12 Jul 2015)","""Absolutely everything in life can be achieved. It is only necessary to believe, to be persistent and to overcome the first obstacles."" (dalmatinskiportal.hr, 02 Dec 2018)",,,"He has competed in Para table tennis and wheelchair basketball at national level in Croatia. (Sportski Savez Osi Split Instagram profile, 15 May 2023; slobodnadalmacija.hr, 11 Apr 2022, 28 Dec 2017)",,
1540416,LUCIC Mirjana,LUCIC M,Mirjana LUCIC,Female,Athlete,CRO,Croatia,Croatia,Croatia,Croatia,CRO,0.0,0.0,['Para Table Tennis'],"[""Women's Singles - WS9"", 'Mixed Doubles - XD17']",1976-12-09,ZAGREB,Croatia,VELIKA GORICA,Croatia,"Mrva (Athlete, 27 Jul 2016)","Badminton, tennis. (Athlete, 27 Jul 2016)",Athlete,,,"Croatian, English",,"She played non-Para table tennis for many years before a problem with her spine led her to switch to Para table tennis. (sportilus.com, 01 Sep 2016)",,,,,,,,
1540419,O'BRIEN Katie,O'BRIEN K,Katie O'BRIEN,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,0.0,0.0,['Para Rowing'],['PR2 Mixed Double Sculls'],1996-08-30,,,CORK,Ireland,,"Horses. (advertiser.ie, 04 Mar 2022)",Athlete,"Veterinary Science - University College Dublin [UCD], Ireland",,English,,"She became interested in the sport after watching the 2012 Paralympic Games in London. ""We were watching on TV, and I was like, 'Wow, the athletes are like me. I could be like them'. It dawned on me, and I was like, 'That's something that I can do, and that's something that I really, really want to do'. I've always loved sports. But it had never really occurred to me that that option was out there for me. I had always played sport at a disadvantage. I sent an email with my dad to Paralympics Ireland to see how I could get involved. The Paralympics are the pinnacle. It's where everybody wants to go."" (paralympic.org, 14 May 2024; Instagram profile, 20 Sep 2023)",,"Her father, and coaches Conor Moloney and Mike Gaffney. (advertiser.ie, 04 Mar 2022)",,"Her brother Sean O'Brien has played rugby union with Connacht Rugby in Ireland. (advertiser.ie, 04 Mar 2022)",,,,
1540658,LEMOS RIVAS Jose Gregorio,LEMOS RIVAS JG,Jose Gregorio LEMOS RIVAS,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,0.0,0.0,['Para Athletics'],"[""Men's Javelin Throw - F38"", ""Men's Long Jump - T38""]",1991-06-04,PRADERA,Colombia,PRADERA,Colombia,,"Spending time with his family. (Athlete, 26 Aug 2024)",Athlete,"Sports Administration, Sports and Recreation - Ana G Mendez University - Cupey Campus, San Juan, PUR",,Spanish,Osmany Garcia [personal],"He was inspired to take up athletics by his sister Sandra. His coaches encouraged him to get involved in Para athletics after his diagnosis. (infobae.com, 29 Aug 2021; cpc.org.co, 27 Aug 2021)",,"His family. (Athlete, 26 Aug 2024)","""Enjoy everything that life gives you day by day. There are things that the heart does not accept, but you have to throw them away so you can get ahead. I am one of the people who if I fall eight times, I get up nine."" (Facebook profile, 27 Nov 2019)","His sister Sandra represented Colombia in shot put at the Olympic Games in 2012 and 2016. (SportsDeskOnline, 18 Aug 2021; mundeportes.net, 17 Oct 2020)",,"He has represented Colombia in non-Para athletics, and placed eighth in the decathlon at the 2019 Pan American Games in Lima, Peru. (SportsDeskOnline, 10 Dec 2019; runningcolombia.com, 27 Nov 2019)",,
1540997,OLIVEIRA LOPES Heidilene Patricia,OLIVEIRA LOPES HP,Heidilene Patricia OLIVEIRA LOPES,Female,Athlete,CPV,Cabo Verde,Cabo Verde,Cabo Verde,Cabo Verde,CPV,0.0,0.0,['Para Athletics'],"[""Women's 100m - T12"", ""Women's 200m - T12""]",1992-01-12,MINDELO,Cabo Verde,SAO VICENTE,Cabo Verde,,,,"International Relations, Political Science",,Portuguese,Jailson Oliveira [personal],"Her family were involved in sport, particularly football, which she played at a young age. After her diagnosis she took up Para athletics. ""I saw a documentary on public television and I watched a friend who was blind and was running. And I told myself, 'If he is blind and he can run then I also can'."" (balai.cv, 12 Jul 2022)",,"Her mother. (criolosports.com, 30 Dec 2023)",,"Her uncle Nelson Oliveira represented Cape Verde in football. (balai.cv, 12 Jul 2022)",,,,
