medal_date,medal_type,medal_code,name,gender,country_code,country,country_long,nationality_code,nationality,nationality_long,team,team_gender,discipline,event,event_type,url_event,birth_date,code_athlete,code_team
2024-08-29,Gold Medal,1,BANGMA Tristan,Male,NED,Netherlands,Netherlands,NED,Netherlands,Netherlands,,,Para Cycling Track,Men's B 4000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-b-4000m-individual-pursuit/fnl---------,1997-10-06,3387103,
2024-08-29,Silver Medal,2,BATE Stephen,Male,GBR,Great Britain,Great Britain,GBR,Great Britain,Great Britain,,,Para Cycling Track,Men's B 4000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-b-4000m-individual-pursuit/fnl---------,1977-08-24,1907799,
2024-08-29,Bronze Medal,3,BERNARD Lorenzo,Male,ITA,Italy,Italy,ITA,Italy,Italy,,,Para Cycling Track,Men's B 4000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-b-4000m-individual-pursuit/fnl---------,1997-03-25,2123228,
2024-08-29,Gold Medal,1,LI Zhangyu,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Para Cycling Track,Men's C1 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-c1-3000m-individual-pursuit/fnl---------,1988-08-12,1997731,
2024-08-29,Silver Medal,2,LIANG Weicong,Male,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Para Cycling Track,Men's C1 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-c1-3000m-individual-pursuit/fnl---------,1995-06-03,1987598,
2024-08-29,Bronze Medal,3,TEN ARGILES Ricardo,Male,ESP,Spain,Spain,ESP,Spain,Spain,,,Para Cycling Track,Men's C1 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-c1-3000m-individual-pursuit/fnl---------,1975-08-11,2004596,
2024-08-29,Gold Medal,1,WANG Xiaomei,Female,CHN,China,People's Republic of China,CHN,China,People's Republic of China,,,Para Cycling Track,Women's C1-3 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c1-3-3000m-individual-pursuit/fnl---------,2000-08-20,1987567,
2024-08-29,Silver Medal,2,SCHRAGER Daphne,Female,GBR,Great Britain,Great Britain,GBR,Great Britain,Great Britain,,,Para Cycling Track,Women's C1-3 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c1-3-3000m-individual-pursuit/fnl---------,2000-12-24,1907824,
2024-08-29,Bronze Medal,3,RIGLING Flurina,Female,SUI,Switzerland,Switzerland,SUI,Switzerland,Switzerland,,,Para Cycling Track,Women's C1-3 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c1-3-3000m-individual-pursuit/fnl---------,1996-09-22,1932119,
2024-08-29,Gold Medal,1,GROOT Caroline,Female,NED,Netherlands,Netherlands,NED,Netherlands,Netherlands,,,Para Cycling Track,Women's C4-5 500m Time Trial,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c4-5-500m-time-trial/fnl-000100--,1997-09-04,3387065,
2024-08-29,Silver Medal,2,PATOUILLET Marie,Female,FRA,France,France,FRA,France,France,,,Para Cycling Track,Women's C4-5 500m Time Trial,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c4-5-500m-time-trial/fnl-000100--,1988-08-07,3068002,
