medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code,country,country_long
Gold Medal,1,2024-08-29,Tristan BANGMA,NED,M,Para Cycling Track,Men's B 4000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-b-4000m-individual-pursuit/fnl---------,3387103,Netherlands,Netherlands
Silver Medal,2,2024-08-29,Steve BATE,GBR,M,Para Cycling Track,Men's B 4000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-b-4000m-individual-pursuit/fnl---------,1907799,Great Britain,Great Britain
Bronze Medal,3,2024-08-29,Lorenzo BERNARD,ITA,M,Para Cycling Track,Men's B 4000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-b-4000m-individual-pursuit/fnl---------,2123228,Italy,Italy
Gold Medal,1,2024-08-29,LI Zhangyu,CHN,M,Para Cycling Track,Men's C1 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-c1-3000m-individual-pursuit/fnl---------,1997731,China,People's Republic of China
Silver Medal,2,2024-08-29,LIANG Weicong,CHN,M,Para Cycling Track,Men's C1 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-c1-3000m-individual-pursuit/fnl---------,1987598,China,People's Republic of China
Bronze Medal,3,2024-08-29,Ricardo TEN ARGILES,ESP,M,Para Cycling Track,Men's C1 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/men-s-c1-3000m-individual-pursuit/fnl---------,2004596,Spain,Spain
Gold Medal,1,2024-08-29,WANG Xiaomei,CHN,W,Para Cycling Track,Women's C1-3 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c1-3-3000m-individual-pursuit/fnl---------,1987567,China,People's Republic of China
Silver Medal,2,2024-08-29,Daphne SCHRAGER,GBR,W,Para Cycling Track,Women's C1-3 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c1-3-3000m-individual-pursuit/fnl---------,1907824,Great Britain,Great Britain
Bronze Medal,3,2024-08-29,Flurina RIGLING,SUI,W,Para Cycling Track,Women's C1-3 3000m Individual Pursuit,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c1-3-3000m-individual-pursuit/fnl---------,1932119,Switzerland,Switzerland
Gold Medal,1,2024-08-29,Caroline GROOT,NED,W,Para Cycling Track,Women's C4-5 500m Time Trial,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c4-5-500m-time-trial/fnl-000100--,3387065,Netherlands,Netherlands
Silver Medal,2,2024-08-29,Marie PATOUILLET,FRA,W,Para Cycling Track,Women's C4-5 500m Time Trial,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c4-5-500m-time-trial/fnl-000100--,3068002,France,France
Bronze Medal,3,2024-08-29,Kate O'BRIEN,CAN,W,Para Cycling Track,Women's C4-5 500m Time Trial,ATH,/en/paris-2024-paralympics/results/para-cycling-track/women-s-c4-5-500m-time-trial/fnl-000100--,3063096,Canada,Canada
Gold Medal,1,2024-08-29,Kamil OTOWSKI,POL,M,Para Swimming,Men's 100m Backstroke - S1,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-backstroke---s1/fnl-000100--,1890257,Poland,Poland
Silver Medal,2,2024-08-29,Anton KOL,UKR,M,Para Swimming,Men's 100m Backstroke - S1,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-backstroke---s1/fnl-000100--,2491515,Ukraine,Ukraine
Bronze Medal,3,2024-08-29,Francesco BETTELLA,ITA,M,Para Swimming,Men's 100m Backstroke - S1,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-backstroke---s1/fnl-000100--,2012953,Italy,Italy
Gold Medal,1,2024-08-29,Gabriel Geraldo dos SANTOS ARAUJO,BRA,M,Para Swimming,Men's 100m Backstroke - S2,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-backstroke---s2/fnl-000100--,2014025,Brazil,Brazil
Silver Medal,2,2024-08-29,Vladimir DANILENKO,NPA,M,Para Swimming,Men's 100m Backstroke - S2,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-backstroke---s2/fnl-000100--,2487240,NPA,Neutral Paralympic Athletes
Bronze Medal,3,2024-08-29,Alberto Caroly ABARZA DIAZ,CHI,M,Para Swimming,Men's 100m Backstroke - S2,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-backstroke---s2/fnl-000100--,1543708,Chile,Chile
Gold Medal,1,2024-08-29,Ihar BOKI,NPA,M,Para Swimming,Men's 100m Butterfly - S13,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-butterfly---s13/fnl-000100--,1572376,NPA,Neutral Paralympic Athletes
Silver Medal,2,2024-08-29,Alex PORTAL,FRA,M,Para Swimming,Men's 100m Butterfly - S13,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-butterfly---s13/fnl-000100--,3068415,France,France
Bronze Medal,3,2024-08-29,Enrique Jose ALHAMBRA MOLLAR,ESP,M,Para Swimming,Men's 100m Butterfly - S13,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-butterfly---s13/fnl-000100--,1997898,Spain,Spain
Gold Medal,1,2024-08-29,Alexander HILLHOUSE,DEN,M,Para Swimming,Men's 100m Butterfly - S14,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-butterfly---s14/fnl-000100--,2497909,Denmark,Denmark
Silver Medal,2,2024-08-29,William ELLARD,GBR,M,Para Swimming,Men's 100m Butterfly - S14,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-butterfly---s14/fnl-000100--,1916852,Great Britain,Great Britain
Bronze Medal,3,2024-08-29,Gabriel BANDEIRA,BRA,M,Para Swimming,Men's 100m Butterfly - S14,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-100m-butterfly---s14/fnl-000100--,2014023,Brazil,Brazil
Gold Medal,1,2024-08-29,Francesco BOCCIARDO,ITA,M,Para Swimming,Men's 200m Freestyle - S5,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-200m-freestyle---s5/fnl-000100--,2012945,Italy,Italy
Silver Medal,2,2024-08-29,Kirill PULVER,NPA,M,Para Swimming,Men's 200m Freestyle - S5,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-200m-freestyle---s5/fnl-000100--,2489094,NPA,Neutral Paralympic Athletes
Bronze Medal,3,2024-08-29,Oleksandr KOMAROV,UKR,M,Para Swimming,Men's 200m Freestyle - S5,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-200m-freestyle---s5/fnl-000100--,2491533,Ukraine,Ukraine
Gold Medal,1,2024-08-29,Ugo DIDIER,FRA,M,Para Swimming,Men's 400m Freestyle - S9,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-400m-freestyle---s9/fnl-000100--,3068405,France,France
Silver Medal,2,2024-08-29,Simone BARLAAM,ITA,M,Para Swimming,Men's 400m Freestyle - S9,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-400m-freestyle---s9/fnl-000100--,2012944,Italy,Italy
Bronze Medal,3,2024-08-29,Brenden HALL,AUS,M,Para Swimming,Men's 400m Freestyle - S9,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-400m-freestyle---s9/fnl-000100--,3068995,Australia,Australia
Gold Medal,1,2024-08-29,SUZUKI Takayuki,JPN,M,Para Swimming,Men's 50m Breaststroke - SB3,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-50m-breaststroke---sb3/fnl-000100--,2016650,Japan,Japan
Silver Medal,2,2024-08-29,Efrem MORELLI,ITA,M,Para Swimming,Men's 50m Breaststroke - SB3,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-50m-breaststroke---sb3/fnl-000100--,2012947,Italy,Italy
Bronze Medal,3,2024-08-29,Miguel LUQUE,ESP,M,Para Swimming,Men's 50m Breaststroke - SB3,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-50m-breaststroke---sb3/fnl-000100--,1997902,Spain,Spain
Gold Medal,1,2024-08-29,Thomas GALLAGHER,AUS,M,Para Swimming,Men's 50m Freestyle - S10,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-50m-freestyle---s10/fnl-000100--,3068988,Australia,Australia
Silver Medal,2,2024-08-29,Phelipe Andrews MELO RODRIGUES,BRA,M,Para Swimming,Men's 50m Freestyle - S10,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-50m-freestyle---s10/fnl-000100--,2014045,Brazil,Brazil
Bronze Medal,3,2024-08-29,Rowan CROTHERS,AUS,M,Para Swimming,Men's 50m Freestyle - S10,ATH,/en/paris-2024-paralympics/results/para-swimming/men-s-50m-freestyle---s10/fnl-000100--,3068991,Australia,Australia
Gold Medal,1,2024-08-29,Pin Xiu YIP,SGP,W,Para Swimming,Women's 100m Backstroke - S2,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-100m-backstroke---s2/fnl-000100--,1931215,Singapore,Singapore
Silver Medal,2,2024-08-29,Haidee Viviana ACEVES PEREZ,MEX,W,Para Swimming,Women's 100m Backstroke - S2,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-100m-backstroke---s2/fnl-000100--,1996787,Mexico,Mexico
Bronze Medal,3,2024-08-29,Angela PROCIDA,ITA,W,Para Swimming,Women's 100m Backstroke - S2,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-100m-backstroke---s2/fnl-000100--,2012967,Italy,Italy
Gold Medal,1,2024-08-29,Carlotta GILLI,ITA,W,Para Swimming,Women's 100m Butterfly - S13,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-100m-butterfly---s13/fnl-000100--,2012960,Italy,Italy
Silver Medal,2,2024-08-29,Grace NUHFER,USA,W,Para Swimming,Women's 100m Butterfly - S13,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-100m-butterfly---s13/fnl-000100--,2487811,United States,United States of America
Bronze Medal,3,2024-08-29,Muslima ODILOVA,UZB,W,Para Swimming,Women's 100m Butterfly - S13,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-100m-butterfly---s13/fnl-000100--,1969842,Uzbekistan,Uzbekistan
Gold Medal,1,2024-08-29,Poppy MASKILL,GBR,W,Para Swimming,Women's 100m Butterfly - S14,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-100m-butterfly---s14/fnl-000100--,1916865,Great Britain,Great Britain
Silver Medal,2,2024-08-29,CHAN Yui Lam,HKG,W,Para Swimming,Women's 100m Butterfly - S14,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-100m-butterfly---s14/fnl-000100--,2279960,"Hong Kong, China","Hong Kong, China"
Bronze Medal,3,2024-08-29,Valeriia SHABALINA,NPA,W,Para Swimming,Women's 100m Butterfly - S14,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-100m-butterfly---s14/fnl-000100--,3061904,NPA,Neutral Paralympic Athletes
Gold Medal,1,2024-08-29,Tully KEARNEY,GBR,W,Para Swimming,Women's 200m Freestyle - S5,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-200m-freestyle---s5/fnl-000100--,1916862,Great Britain,Great Britain
Silver Medal,2,2024-08-29,Iryna POIDA,UKR,W,Para Swimming,Women's 200m Freestyle - S5,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-200m-freestyle---s5/fnl-000100--,2491984,Ukraine,Ukraine
Bronze Medal,3,2024-08-29,Monica BOGGIONI,ITA,W,Para Swimming,Women's 200m Freestyle - S5,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-200m-freestyle---s5/fnl-000100--,2012965,Italy,Italy
Gold Medal,1,2024-08-29,Zsofia KONKOLY,HUN,W,Para Swimming,Women's 400m Freestyle - S9,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-400m-freestyle---s9/fnl-000100--,3372637,Hungary,Hungary
Silver Medal,2,2024-08-29,Lakeisha PATTERSON,AUS,W,Para Swimming,Women's 400m Freestyle - S9,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-400m-freestyle---s9/fnl-000100--,3069014,Australia,Australia
Bronze Medal,3,2024-08-29,Vittoria BIANCO,ITA,W,Para Swimming,Women's 400m Freestyle - S9,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-400m-freestyle---s9/fnl-000100--,2012971,Italy,Italy
Gold Medal,1,2024-08-29,CHEN Yi,CHN,W,Para Swimming,Women's 50m Freestyle - S10,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-50m-freestyle---s10/fnl-000100--,1987057,China,People's Republic of China
Silver Medal,2,2024-08-29,Christie RALEIGH-CROSSLEY,USA,W,Para Swimming,Women's 50m Freestyle - S10,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-50m-freestyle---s10/fnl-000100--,2487768,United States,United States of America
Bronze Medal,3,2024-08-29,Aurelie RIVARD,CAN,W,Para Swimming,Women's 50m Freestyle - S10,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-50m-freestyle---s10/fnl-000100--,3426826,Canada,Canada
Gold Medal,1,2024-08-29,JIANG Yuyan,CHN,W,Para Swimming,Women's 50m Freestyle - S6,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-50m-freestyle---s6/fnl-000100--,1987126,China,People's Republic of China
Silver Medal,2,2024-08-29,Ellie MARKS,USA,W,Para Swimming,Women's 50m Freestyle - S6,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-50m-freestyle---s6/fnl-000100--,2487804,United States,United States of America
Bronze Medal,3,2024-08-29,Anna HONTAR,UKR,W,Para Swimming,Women's 50m Freestyle - S6,ATH,/en/paris-2024-paralympics/results/para-swimming/women-s-50m-freestyle---s6/fnl-000100--,2491367,Ukraine,Ukraine
Bronze Medal,3,2024-08-29,PICKARD/TWOMEY,GBR,W,Para Table Tennis,Women's Doubles - WD14,HCOUP,/en/paris-2024-paralympics/results/para-table-tennis/women-s-doubles---wd14/sfnl000200--,TTEWDOUBLES-GBR01,Great Britain,Great Britain
Bronze Medal,3,2024-08-29,HUSIC DAHL/TVEITEN,NOR,W,Para Table Tennis,Women's Doubles - WD14,HCOUP,/en/paris-2024-paralympics/results/para-table-tennis/women-s-doubles---wd14/sfnl000100--,TTEWDOUBLES-NOR01,Norway,Norway
Gold Medal,1,2024-08-29,Asaf YASUR,ISR,M,Para Taekwondo,Men K44 -58kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/men-k44--58kg/fnl-000100--,1897206,Israel,Israel
Silver Medal,2,2024-08-29,Ali Can OZCAN,TUR,M,Para Taekwondo,Men K44 -58kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/men-k44--58kg/fnl-000100--,2004030,Türkiye,Türkiye
Bronze Medal,3,2024-08-29,Sabir ZEYNALOV,AZE,M,Para Taekwondo,Men K44 -58kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/men-k44--58kg/repf000100--,3067220,Azerbaijan,Azerbaijan
Bronze Medal,3,2024-08-29,XIAO Xiang Wen,TPE,M,Para Taekwondo,Men K44 -58kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/men-k44--58kg/repf000200--,3068892,Chinese Taipei,Chinese Taipei
Gold Medal,1,2024-08-29,Leonor Angelica ESPINOZA CARRANZA,PER,W,Para Taekwondo,Women K44 -47kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/women-k44--47kg/fnl-000100--,1952631,Peru,Peru
Silver Medal,2,2024-08-29,Ziyodakhon ISAKOVA,UZB,W,Para Taekwondo,Women K44 -47kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/women-k44--47kg/fnl-000100--,2285853,Uzbekistan,Uzbekistan
Bronze Medal,3,2024-08-29,Khwansuda PHUANGKITCHA,THA,W,Para Taekwondo,Women K44 -47kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/women-k44--47kg/repf000100--,3495684,Thailand,Thailand
Bronze Medal,3,2024-08-29,Zakia KHUDADADI,RPT,W,Para Taekwondo,Women K44 -47kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/women-k44--47kg/repf000200--,3385985,RPT,Refugee Paralympic Team
Gold Medal,1,2024-08-29,Surenjav ULAMBAYAR,MGL,W,Para Taekwondo,Women K44 -52kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/women-k44--52kg/fnl-000100--,3415532,Mongolia,Mongolia
Silver Medal,2,2024-08-29,Zahra RAHIMI,IRI,W,Para Taekwondo,Women K44 -52kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/women-k44--52kg/fnl-000100--,3067620,IR Iran,Islamic Republic of Iran
Bronze Medal,3,2024-08-29,Ana JAPARIDZE,GEO,W,Para Taekwondo,Women K44 -52kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/women-k44--52kg/repf000100--,3429285,Georgia,Georgia
Bronze Medal,3,2024-08-29,Meryem Betul CAVDAR,TUR,W,Para Taekwondo,Women K44 -52kg,HATH,/en/paris-2024-paralympics/results/para-taekwondo/women-k44--52kg/repf000200--,2004046,Türkiye,Türkiye
Gold Medal,1,2024-08-30,Ricardo GOMES de MENDONCA,BRA,M,Para Athletics,Men's 100m - T37,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-100m---t37/fnl-000100--,1934732,Brazil,Brazil
Silver Medal,2,2024-08-30,Saptoyogo PURNOMO,INA,M,Para Athletics,Men's 100m - T37,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-100m---t37/fnl-000100--,2494985,Indonesia,Indonesia
Bronze Medal,3,2024-08-30,Andrei VDOVIN,NPA,M,Para Athletics,Men's 100m - T37,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-100m---t37/fnl-000100--,3048958,NPA,Neutral Paralympic Athletes
Gold Medal,1,2024-08-30,Petrucio FERREIRA dos SANTOS,BRA,M,Para Athletics,Men's 100m - T47,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-100m---t47/fnl-000100--,1934725,Brazil,Brazil
Silver Medal,2,2024-08-30,Korban BEST,USA,M,Para Athletics,Men's 100m - T47,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-100m---t47/fnl-000100--,2486929,United States,United States of America
Bronze Medal,3,2024-08-30,Aymane EL HADDAOUI,MAR,M,Para Athletics,Men's 100m - T47,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-100m---t47/fnl-000100--,3443095,Morocco,Morocco
Gold Medal,1,2024-08-30,Maxime CARABIN,BEL,M,Para Athletics,Men's 400m - T52,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-400m---t52/fnl-000100--,1969515,Belgium,Belgium
Silver Medal,2,2024-08-30,SATO Tomoki,JPN,M,Para Athletics,Men's 400m - T52,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-400m---t52/fnl-000100--,2497593,Japan,Japan
Bronze Medal,3,2024-08-30,ITO Tomoya,JPN,M,Para Athletics,Men's 400m - T52,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-400m---t52/fnl-000100--,4647825,Japan,Japan
Gold Medal,1,2024-08-30,Julio Cesar AGRIPINO dos SANTOS,BRA,M,Para Athletics,Men's 5000m - T11,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-5000m---t11/fnl-000100--,1934691,Brazil,Brazil
Silver Medal,2,2024-08-30,KARASAWA Kenya,JPN,M,Para Athletics,Men's 5000m - T11,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-5000m---t11/fnl-000100--,2497535,Japan,Japan
Bronze Medal,3,2024-08-30,Yeltsin JACQUES,BRA,M,Para Athletics,Men's 5000m - T11,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-5000m---t11/fnl-000100--,1934758,Brazil,Brazil
Gold Medal,1,2024-08-30,Jose Gregorio LEMOS RIVAS,COL,M,Para Athletics,Men's Javelin Throw - F38,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-javelin-throw---f38/fnl-000100--,1540658,Colombia,Colombia
Silver Medal,2,2024-08-30,Vladyslav BILYI,UKR,M,Para Athletics,Men's Javelin Throw - F38,ATH,/en/paris-2024-paralympics/results/para-athletics/men-s-javelin-throw---f38/fnl-000100--,2301565,Ukraine,Ukraine
